Country,Year,BFTn,BFTtons
ITALY,1690,3454.00,587.18
ITALY,1691,4319.00,734.23
ITALY,1692,4603.55,782.60
ITALY,1693,4994.00,848.98
ITALY,1694,3843.96,653.47
ITALY,1695,3226.08,548.43
ITALY,1696,5706.59,970.12
ITALY,1697,2658.09,451.88
ITALY,1698,2511.46,426.95
ITALY,1699,5518.00,938.06
ITALY,1700,3094.09,526.00
ITALY,1701,5255.91,893.50
ITALY,1702,5014.54,852.47
ITALY,1703,1020.66,173.51
ITALY,1704,1292.33,219.70
ITALY,1705,1383.25,235.15
ITALY,1706,1540.19,261.83
ITALY,1707,835.58,142.05
ITALY,1708,643.56,109.41
ITALY,1710,1181.93,200.93
ITALY,1711,1962.31,333.59
ITALY,1712,5416.09,920.74
ITALY,1713,8301.65,1411.28
ITALY,1714,8591.96,1460.63
ITALY,1715,4942.34,840.20
ITALY,1716,5155.33,876.41
ITALY,1717,3613.81,614.35
ITALY,1718,4932.55,838.53
ITALY,1719,2198.26,373.70
ITALY,1720,4614.91,784.53
ITALY,1721,1917.20,325.92
ITALY,1722,1978.88,336.41
ITALY,1723,1927.88,327.74
ITALY,1724,1412.07,240.05
ITALY,1725,2267.33,385.45
ITALY,1726,3422.42,581.81
ITALY,1727,2578.34,438.32
ITALY,1728,4353.40,740.08
ITALY,1730,4263.92,724.87
ITALY,1731,7464.36,1268.94
ITALY,1732,5210.02,885.70
ITALY,1733,5146.91,874.97
ITALY,1734,2873.66,488.52
ITALY,1738,3365.41,572.12
ITALY,1739,10450.45,1776.58
ITALY,1740,6169.16,1048.76
ITALY,1741,6942.87,1180.29
ITALY,1742,4802.62,816.45
ITALY,1743,6421.41,1091.64
ITALY,1744,5062.54,860.63
ITALY,1745,7094.76,1206.11
ITALY,1746,6605.34,1122.91
ITALY,1747,7733.76,1314.74
ITALY,1748,9072.54,1542.33
ITALY,1749,11751.16,1997.70
ITALY,1750,7096.16,1206.35
ITALY,1751,8584.22,1459.32
ITALY,1752,10442.15,1775.17
ITALY,1753,10730.04,1824.11
ITALY,1754,6328.82,1075.90
ITALY,1755,17364.14,2951.90
ITALY,1756,13128.51,2231.85
ITALY,1757,14206.79,2415.15
ITALY,1758,14756.88,2508.67
ITALY,1759,12009.62,2041.64
ITALY,1760,16105.13,2737.87
ITALY,1761,14929.59,2538.03
ITALY,1762,10116.66,1719.83
ITALY,1763,16121.67,2740.68
ITALY,1764,11817.16,2008.92
ITALY,1765,3155.52,536.44
ITALY,1766,8234.71,1399.90
ITALY,1767,7064.35,1200.94
ITALY,1768,4666.00,793.22
ITALY,1769,9770.02,1660.90
ITALY,1770,5456.72,927.64
ITALY,1771,15296.65,2600.43
ITALY,1772,16876.66,2869.03
ITALY,1773,5695.71,968.27
ITALY,1774,10114.16,1719.41
ITALY,1775,9173.09,1559.43
ITALY,1776,12625.27,2146.30
ITALY,1777,4591.20,780.50
ITALY,1778,11229.66,1909.04
ITALY,1779,3445.16,585.68
ITALY,1780,4903.22,833.55
ITALY,1781,6067.65,1031.50
ITALY,1782,6704.89,1139.83
ITALY,1783,8726.20,1483.45
ITALY,1784,7824.24,1330.12
ITALY,1785,9585.96,1629.61
ITALY,1786,10957.65,1862.80
ITALY,1787,26009.01,4421.53
ITALY,1788,6134.46,1042.86
ITALY,1789,4957.15,842.72
ITALY,1790,7595.13,1291.17
ITALY,1791,5792.58,984.74
ITALY,1792,3347.09,569.01
ITALY,1793,24123.00,4100.91
ITALY,1794,5382.98,915.11
ITALY,1795,2367.44,402.46
ITALY,1796,4328.79,735.89
ITALY,1797,5691.12,967.49
ITALY,1798,1293.64,219.92
ITALY,1799,2207.95,375.35
ITALY,1800,1603.88,272.66
ITALY,1801,1337.00,227.29
ITALY,1802,5152.44,875.91
ITALY,1803,3045.00,517.65
ITALY,1804,1722.98,292.91
ITALY,1805,2422.52,411.83
ITALY,1806,10666.04,1813.23
ITALY,1807,1623.00,275.91
ITALY,1808,3063.00,520.71
ITALY,1809,2870.00,487.90
ITALY,1810,2144.00,364.48
ITALY,1811,1212.00,206.04
ITALY,1812,488.00,82.96
ITALY,1813,4717.00,801.89
ITALY,1814,2137.00,363.29
ITALY,1815,905.00,153.85
ITALY,1817,3142.00,534.14
ITALY,1818,824.00,140.08
ITALY,1820,267.00,45.39
ITALY,1823,1977.00,336.09
ITALY,1824,1791.00,304.47
ITALY,1825,2686.00,456.62
ITALY,1826,3251.00,552.67
ITALY,1827,2268.00,385.56
ITALY,1828,3868.00,657.56
ITALY,1829,14345.00,2438.65
ITALY,1830,16982.00,2647.23
ITALY,1831,12225.00,2077.47
ITALY,1832,10390.00,1766.30
ITALY,1833,8259.00,1404.03
ITALY,1834,9922.00,1511.43
ITALY,1835,9559.00,1558.23
ITALY,1836,7062.00,1149.68
ITALY,1837,12092.00,2031.25
ITALY,1838,17501.00,2975.17
ITALY,1839,15668.00,2663.56
ITALY,1840,25206.00,4285.02
ITALY,1841,18736.00,3185.12
ITALY,1842,24080.84,4093.74
ITALY,1843,17135.60,2913.05
ITALY,1844,23351.86,3969.82
ITALY,1845,16423.39,2791.98
ITALY,1846,10897.61,1852.59
ITALY,1847,15245.27,2591.70
ITALY,1848,15941.00,2709.97
ITALY,1849,15675.00,2664.75
ITALY,1850,8491.00,1443.47
ITALY,1851,11597.00,1971.49
ITALY,1852,8985.54,1527.54
ITALY,1853,19930.00,3388.10
ITALY,1854,24228.54,4118.85
ITALY,1855,19386.76,3295.75
ITALY,1856,6442.00,1095.14
ITALY,1857,9680.00,1645.60
ITALY,1858,3556.00,604.52
ITALY,1859,22717.00,3861.89
ITALY,1860,14429.00,2452.93
ITALY,1861,8971.00,1525.07
ITALY,1862,9025.00,1534.25
ITALY,1863,17970.00,3054.90
ITALY,1864,14753.00,2508.01
ITALY,1865,32492.00,5523.64
ITALY,1866,15590.00,2650.30
ITALY,1867,11638.00,1978.46
ITALY,1868,24668.00,4193.56
ITALY,1869,27513.00,4677.21
ITALY,1870,18980.00,3226.60
ITALY,1871,14637.00,2488.29
ITALY,1872,25311.00,4302.87
ITALY,1873,21772.00,3701.24
ITALY,1874,8641.00,1421.43
ITALY,1875,18708.00,3111.89
ITALY,1876,30189.00,5016.88
ITALY,1877,28747.00,4821.50
ITALY,1878,55193.00,9286.06
ITALY,1879,33202.00,5576.28
ITALY,1880,46304.00,7807.79
ITALY,1881,75687.00,12629.49
ITALY,1882,55557.00,9399.16
ITALY,1883,51916.00,8780.08
ITALY,1884,51615.00,8641.68
ITALY,1885,32389.41,5437.66
ITALY,1886,41195.18,6814.77
ITALY,1887,36669.24,6054.02
ITALY,1888,38544.94,6503.71
ITALY,1889,37681.12,6405.79
ITALY,1890,38261.71,6187.59
ITALY,1891,44701.47,7206.98
ITALY,1892,32964.12,5379.60
ITALY,1893,29602.82,4904.78
ITALY,1894,35866.06,5511.36
ITALY,1895,15268.53,2301.69
ITALY,1896,42414.59,6882.18
ITALY,1897,47791.94,7423.84
ITALY,1898,45463.53,7322.25
ITALY,1899,49774.53,7746.96
ITALY,1900,54767.18,8853.19
ITALY,1901,57783.94,9017.10
ITALY,1902,50625.82,7639.22
ITALY,1903,56101.59,8987.60
ITALY,1904,53463.82,8570.51
ITALY,1905,61812.47,9445.17
ITALY,1906,51758.29,8616.28
ITALY,1907,40903.53,6150.93
ITALY,1908,38130.71,5992.56
ITALY,1909,58239.47,7300.90
ITALY,1910,76740.76,9608.32
ITALY,1911,75594.71,7785.61
ITALY,1912,53790.59,4381.88
ITALY,1913,46631.06,4749.33
ITALY,1914,53784.00,5091.88
ITALY,1915,27701.00,3697.06
ITALY,1916,40097.47,5511.61
ITALY,1917,18532.59,2666.54
ITALY,1918,34251.29,5094.43
ITALY,1919,33892.94,4763.29
ITALY,1920,33723.71,4385.89
ITALY,1921,37218.82,5241.66
ITALY,1922,37661.59,5818.58
ITALY,1923,42823.41,5627.79
ITALY,1924,38661.24,4424.68
ITALY,1925,22628.24,2847.12
ITALY,1926,17240.41,1669.85
ITALY,1927,14518.53,1754.04
ITALY,1928,18267.06,2388.71
ITALY,1929,16978.88,1805.55
ITALY,1930,10840.71,1270.40
ITALY,1931,19174.00,3182.58
ITALY,1932,15948.00,2070.06
ITALY,1933,11387.00,1775.94
ITALY,1934,17091.12,2671.20
ITALY,1935,6517.94,1034.87
ITALY,1936,10126.29,1721.47
ITALY,1937,9762.58,1659.64
ITALY,1938,10905.07,1853.86
ITALY,1939,9850.09,1674.52
ITALY,1940,8697.56,1478.58
ITALY,1941,14056.17,2389.55
ITALY,1942,12521.08,2128.58
ITALY,1943,4236.71,720.24
ITALY,1944,16486.06,2802.63
ITALY,1945,7349.80,1249.47
ITALY,1946,13804.94,2346.84
ITALY,1947,14425.11,2452.27
ITALY,1948,6922.58,1176.84
ITALY,1949,11439.59,1944.73
ITALY,1950,13112.36,2229.10
ITALY,1951,13518.94,2298.22
ITALY,1952,6001.35,1020.23
ITALY,1953,7806.22,1327.06
ITALY,1954,9062.70,1540.66
ITALY,1955,9641.63,1639.08
ITALY,1956,7563.27,1285.76
ITALY,1957,12923.58,2197.01
ITALY,1958,15769.47,2680.81
ITALY,1959,10507.62,1786.29
