Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
ICCAT_GBYP,A_DiNatale,130563,BFT,60,,E_ATL,2013-07-26,2013-10-10,77
ICCAT_GBYP,A_DiNatale,130564,BFT,56,,E_ATL,2013-07-26,2013-09-04,41
ICCAT_GBYP,A_DiNatale,130565,BFT,63,,E_ATL,2013-07-26,2013-08-31,37
ICCAT_GBYP,A_DiNatale,130566,BFT,100,,E_ATL,2013-07-26,2013-09-10,47
ICCAT_GBYP,A_DiNatale,130567,BFT,98,,E_ATL,2013-07-26,2013-09-22,59
ICCAT_GBYP,A_DiNatale,130568,BFT,114,,SE_ATL,2013-09-24,2013-09-26,3
ICCAT_GBYP,A_DiNatale,130568,BFT,114,,W_MED,2013-09-27,2013-10-03,7
ICCAT_GBYP,A_DiNatale,130568,BFT,114,,SE_ATL,2013-10-04,2013-10-31,28
ICCAT_GBYP,A_DiNatale,130568,BFT,114,,W_MED,2013-11-01,2013-12-11,41
ICCAT_GBYP,A_DiNatale,130568,BFT,114,,SE_ATL,2013-12-12,2014-04-17,127
ICCAT_GBYP,A_DiNatale,130568,BFT,114,,W_MED,2014-04-18,2014-04-30,13
ICCAT_GBYP,A_DiNatale,130569,BFT,118,,SE_ATL,2013-09-30,2013-10-01,2
ICCAT_GBYP,A_DiNatale,130569,BFT,118,,W_MED,2013-10-02,2014-01-04,95
ICCAT_GBYP,A_DiNatale,130570,BFT,121,,SE_ATL,2013-09-24,2013-09-24,1
ICCAT_GBYP,A_DiNatale,130570,BFT,121,,W_MED,2013-09-25,2013-11-02,39
ICCAT_GBYP,A_DiNatale,130570,BFT,121,,SE_ATL,2013-11-03,2014-06-10,220
ICCAT_GBYP,A_DiNatale,130570,BFT,121,,W_MED,2014-06-11,2014-07-04,24
ICCAT_GBYP,A_DiNatale,130570,BFT,121,,SE_ATL,2014-07-05,2014-08-27,54
ICCAT_GBYP,A_DiNatale,130572,BFT,124,,SE_ATL,2013-10-04,2013-10-04,1
ICCAT_GBYP,A_DiNatale,130572,BFT,124,,W_MED,2013-10-05,2014-04-22,200
USA_NOAA,C_Brown,GOM_2010_001,BFT,240,200,GOM,2010-05-13,2010-06-07,26
USA_NOAA,C_Brown,GOM_2010_001,BFT,240,200,CAR,2010-06-08,2010-06-14,7
USA_NOAA,C_Brown,GOM_2010_001,BFT,240,200,W_ATL,2010-06-15,2010-08-11,58
USA_NOAA,C_Brown,GOM_2010_002,BFT,260,360,GOM,2010-05-22,2010-06-12,22
USA_NOAA,C_Brown,GOM_2010_002,BFT,260,360,CAR,2010-06-13,2010-06-20,8
USA_NOAA,C_Brown,GOM_2010_002,BFT,260,360,W_ATL,2010-06-21,2010-07-21,31
USA_NOAA,C_Brown,GOM_2010_002,BFT,260,360,GSL,2010-07-22,2010-08-20,30
USA_NOAA,C_Brown,GOM_2010_004,BFT,250,340,GOM,2010-05-22,2010-06-09,19
USA_NOAA,C_Brown,GOM_2010_004,BFT,250,340,CAR,2010-06-10,2010-06-13,4
